Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/2/2023 15:00,Mote05,qGEKMzA3fwE=,905300000,125,7,4/5,-69,9,10,68.54,24.95,0,128,1
2/2/2023 15:00,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-61,7.2,10,68.25,26.39,0,12270,1
2/2/2023 15:00,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-69,7.5,10,68.83,26.05,0,14282,1
2/2/2023 15:00,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-77,9.8,10,68.32,24.89,0,14144,1
2/2/2023 15:00,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-66,10,10,68.43,26.32,0,14283,1
2/2/2023 15:01,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-66,9,10,68.52,25.26,0,129,1
2/2/2023 15:01,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-65,11.5,10,68.27,26.64,0,12271,1
2/2/2023 15:01,Mote03,qGEKNDQkZg8=,904900000,125,5,4/5,-67,9.5,10,68.41,26.31,0,14284,1
2/2/2023 15:01,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-63,10.2,10,68.81,24.19,0,13630,1
2/2/2023 15:02,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-69,9.2,10,68.5,25.29,0,130,1
2/2/2023 15:02,Mote02,qGEKNDExiAs=,905300000,125,7,4/5,-67,12.8,10,68.25,26.75,0,12272,1
2/2/2023 15:02,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-60,10,10,68.81,24.28,0,13631,1
2/2/2023 15:02,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-89,10.2,10,68.27,24.98,0,14146,1
2/2/2023 15:02,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-70,10.5,10,68.49,25.28,0,131,1
2/2/2023 15:02,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-65,8.8,10,68.74,26.3,0,14285,1
2/2/2023 15:03,Mote03,qGEKNDQkZg8=,905300000,125,7,4/5,-64,9,10,68.74,26.3,0,14285,1
2/2/2023 15:03,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-70,10.8,10,68.25,24.94,0,14147,1
2/2/2023 15:03,Mote04,qGEKNDBFiQo=,905300000,125,7,4/5,-63,9.2,10,68.81,24.32,0,13632,1
2/2/2023 15:03,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-66,7.2,10,68.52,25.24,0,132,1
2/2/2023 15:04,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-65,13.2,10,68.29,26.71,0,12274,1
2/2/2023 15:04,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-69,9.8,10,68.72,26.33,0,14286,1
2/2/2023 15:05,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-59,9.2,10,68.81,24.27,0,13633,1
2/2/2023 15:05,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-70,12,10,68.76,26.26,0,14287,1
2/2/2023 15:05,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-64,12,10,68.29,26.72,0,12275,1
2/2/2023 15:05,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-64,12.2,10,68.81,24.25,0,13634,1
2/2/2023 15:05,Mote01,qGEKMzVBjAY=,905300000,125,7,4/5,-72,10.2,10,68.23,24.95,0,14149,1
2/2/2023 15:05,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-63,9,10,68.81,24.25,0,13634,1
2/2/2023 15:06,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-66,9.2,10,68.47,25.25,0,134,1
2/2/2023 15:06,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-76,8,10,68.22,24.96,0,14150,1
2/2/2023 15:06,Mote05,qGEKMzA3fwE=,905300000,125,7,4/5,-68,10.2,10,68.49,25.19,0,135,1
2/2/2023 15:07,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-60,9.2,10,68.81,24.21,0,13635,1
2/2/2023 15:07,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-67,8.2,10,68.85,26.22,0,14289,1
2/2/2023 15:07,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-59,12.2,10,68.81,24.21,0,13636,1
2/2/2023 15:08,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-69,10.5,10,68.5,25.15,0,136,1
2/2/2023 15:08,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-69,10.2,10,68.77,26.26,0,14290,1
2/2/2023 15:08,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-65,7.8,10,68.49,25.32,0,137,1
2/2/2023 15:08,Mote02,qGEKNDExiAs=,905300000,125,7,4/5,-66,12.2,10,68.27,26.72,0,12278,1
2/2/2023 15:08,Mote04,qGEKNDBFiQo=,904900000,125,5,4/5,-60,10,10,68.83,24.21,0,13637,1
2/2/2023 15:09,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-77,11.8,10,68.22,25.03,0,14152,1
2/2/2023 15:09,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-76,9.8,10,68.23,25.11,0,14153,1
2/2/2023 15:09,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-71,9.5,10,68.49,25.39,0,138,1
2/2/2023 15:10,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-65,12,10,68.27,26.82,0,12280,1
2/2/2023 15:11,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-70,12.5,10,68.31,26.5,0,14293,1
2/2/2023 15:11,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-65,13.8,10,68.23,26.78,0,12281,1
2/2/2023 15:11,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-83,12.5,10,68.23,25.17,0,14155,1
2/2/2023 15:12,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-69,9,10,68.47,25.44,0,140,1
2/2/2023 15:12,Mote02,qGEKNDExiAs=,904900000,125,5,4/5,-64,12.2,10,68.22,26.79,0,12282,1
2/2/2023 15:12,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-71,12.2,10,68.74,26.47,0,14294,1
2/2/2023 15:13,Mote04,qGEKNDBFiQo=,905300000,125,7,4/5,-62,12.5,10,68.76,24.38,0,13641,1
2/2/2023 15:13,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-64,7.8,10,68.54,25.29,0,141,1
2/2/2023 15:14,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-61,9.8,10,68.79,24.28,0,13642,1
2/2/2023 15:14,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-78,12.5,10,68.23,25.09,0,14158,1
2/2/2023 15:15,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-65,13,10,68.23,26.75,0,12284,1
2/2/2023 15:15,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-61,10.2,10,68.52,25.4,0,143,1
2/2/2023 15:15,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-78,9.8,10,68.25,25.17,0,14159,1
2/2/2023 15:16,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-60,9.5,10,68.81,24.36,0,13644,1
2/2/2023 15:16,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-68,12.5,10,68.74,26.55,0,14298,1
2/2/2023 15:16,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-65,8.5,10,68.2,26.82,0,12286,1
2/2/2023 15:16,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-83,10.5,10,68.31,25.21,0,14160,1
2/2/2023 15:16,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-67,8,10,68.56,25.47,0,145,1
2/2/2023 15:17,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-68,12.8,10,68.74,26.58,0,14299,1
2/2/2023 15:17,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-65,12.2,10,68.25,26.85,0,12287,1
2/2/2023 15:18,Mote03,qGEKNDQkZg8=,905300000,125,7,4/5,-79,12.8,10,68.79,26.54,0,14300,1
2/2/2023 15:18,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-62,12.2,10,68.23,26.81,0,12288,1
2/2/2023 15:18,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-62,12,10,68.81,24.47,0,13647,1
2/2/2023 15:19,Mote05,qGEKMzA3fwE=,905300000,125,7,4/5,-69,10.5,10,68.67,25.45,0,147,1
2/2/2023 15:19,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-79,12,10,68.4,25.16,0,14162,1
